1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0.016850396,-0.004251968,0.020787401,-0.003681104,-0.041850394,0.001003937,-0.024980316,-0.003976379,0.041673231,0.005334649,0.009232281,-0.001181107,0.031161417,-0.022500001,-0.009192914,0.005531497,0.018681104,-0.009015748,-0.010118113,-0.017539374
0.046200788,0.024724408,0.014881889,0.00015748,-0.023011808,0.025925197,0.011476378,0.021299212,0.040846459,0.023661416,0.014685039,0.021062992,0.047244094,-0.011358269,-0.010433073,0.013740157,0.040964568,0.005984252,0.028956693,0.005295277
0.049763778,0.07301181,0.073622047,0.04202756,0.067657481,0.091240159,0.07242126,0.058326772,0.072047245,0.068897638,0.08035433,0.052933071,0.06047244,0.084251967,0.056673227,0.069783464,0.067362205,0.061417322,0.047874015,0.070098425
0.091181102,0.057913385,0.082125985,0.053858268,0.033858269,0.056476378,0.054625984,0.05011811,0.091259842,0.062598425,0.067598425,0.056338582,0.083405513,0.036496063,0.050570867,0.073188976,0.086870078,0.040846455,0.047224409,0.044311024
0.050433071,0.040728348,0.074783464,-0.015905515,-0.008464565,0.048681103,0.00305118,0.018287401,0.047066928,0.044094489,0.042303149,0.023129919,0.05015748,0.027736219,0.003582675,0.027972441,0.062283466,0.025334644,0.014685041,0.024035433
0.013602362,-0.009251966,0.022637795,-0.023562995,-0.059468502,-0.017952758,-0.041889761,-0.027283458,0.02629921,-0.001535433,0.005118109,-0.016417323,0.027145669,-0.023346458,-0.022480311,-0.012795276,0.009074804,-0.016181105,-0.029311022,-0.039035429
0.075944882,0.103405511,0.093169289,0.069625985,0.088838582,0.105236221,0.104015747,0.089645669,0.084822834,0.091535434,0.098523621,0.073720473,0.089625985,0.105492126,0.087500001,0.093799213,0.090846456,0.088149605,0.081850394,0.093503937
0.082677165,0.061614174,0.093661416,0.022204724,0.017657481,0.061397637,0.042933071,0.038523621,0.078366143,0.074094489,0.079881891,0.038011813,0.082637795,0.049763781,0.043031497,0.059685039,0.076653542,0.025551182,0.026515749,0.050669293
0.053208663,0.02316929,0.053897637,0.024744094,-0.011771653,0.028444882,0.012854328,0.025196849,0.059251967,0.035570864,0.038858269,0.030255905,0.0642126,0.012165355,0.018346458,0.036732285,0.053976378,0.024389761,0.014094488,0.010925197
0.080374016,0.105334646,0.10734252,0.072854331,0.098523621,0.117480316,0.112775591,0.100492126,0.107736221,0.107066929,0.112283464,0.089232283,0.104842521,0.117460631,0.099133859,0.089192914,0.104094489,0.094724409,0.089527559,0.104429133
0.11316929,0.093641733,0.098464567,0.093208662,0.077854331,0.080846456,0.079133858,0.093405511,0.09952756,0.098070866,0.090511811,0.089980316,0.091909449,0.072716535,0.077696851,0.098267717,0.094468503,0.081082677,0.08824803,0.080492126
